moeCode,schoolName,website,schoolAddress,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111011232,北京信息科技大学,https://www.bistu.edu.cn/,北京市海淀区清河小营东路12号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011413,中国矿业大学（北京）,https://www.cumtb.edu.cn/,"校本部：北京市海淀区学院路丁11号,沙河校区：北京市昌平区沙河高教园区南二街9号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011414,中国石油大学（北京）,http://www.cup.edu.cn/,北京市昌平区府学路18号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011415,中国地质大学（北京）,https://www.cugb.edu.cn/,北京市海淀区学院路29号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011417,北京联合大学,https://www.buu.edu.cn/,北京市朝阳区北四环东路97号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011418,北京城市学院,http://www.bcu.edu.cn/,北京市海淀区北四环中路269号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011625,中国青年政治学院,https://www.cyu.edu.cn/,北京市海淀区西三环北路25号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011831,首钢工学院,http://www.sgit.edu.cn/,北京市石景山区晋元庄路6号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111012453,中国劳动关系学院,https://www.culr.edu.cn/,"北京校区：北京市海淀区增光路45号,涿州校区：河北省涿州市",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111013629,首都师范大学科德学院,http://www.kdcnu.com,北京市大兴区榆垡镇榆祥路10号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
