moeCode,schoolName,campusName,campusAddress,province,city,district,lat,lng,undergraduateScope,freshmanOnly,mainCampusType,nearestMetroStation,metroDistanceKm,sourceTitle,sourceUrl,sourceDate,confidence,notes
4122012306,长春东方职业学院,主校区,吉林省长春市长春新区长德经济开发区金汇大路与金丰大街交汇,吉林,长春,长春市长春新区,44.132704,125.503183,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122012901,吉林司法警官职业学院,主校区,吉林省长春市合隆经济开发区景苑路1号,吉林,长春,合隆经济开发区,43.828305,125.362063,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122012902,吉林电子信息职业技术学院,东校区,吉林省吉林市龙潭区长青路24号,吉林,吉林,龙潭区,43.922549,126.574913,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。 百度 POI 近似匹配，坐标偏差约 0.95 km。
4122012902,吉林电子信息职业技术学院,主校区,吉林省吉林市龙潭区汉阳街65号,吉林,吉林,龙潭区,43.92277,126.56323,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。 百度 POI 精确匹配，坐标偏差约 0.82 km。
4122012903,吉林工业职业技术学院,东校区,吉林省吉林市丰满区宜山街（路）70号,吉林,吉林,吉林市丰满区,43.823781,126.571529,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。
4122012903,吉林工业职业技术学院,主校区,吉林省吉林市丰满区恒山西街（路）15号,吉林,吉林,吉林市丰满区,43.820499,126.555343,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。
4122012904,吉林工程职业学院,主校区,吉林省四平市铁东区长发路1299号,吉林,四平,四平市铁东区,43.165223,124.411707,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013161,长春职业技术大学,主校区,吉林省长春市长春经济技术开发区卫星街（路）3278号,吉林,长春,长春经济技术开发区,,,unknown,unknown,,,,DaoSword China-Education-Data,https://github.com/DaoSword/China-Education-Data,2026-04-21,low,当前为学校级校址占位；需要后续 deep research 继续补本科生具体校区、是否大一分校和地铁距离。
4122013600,长春光华学院,主校区,吉林省长春市经济技术开发区武汉路3555号,吉林,长春,二道区,43.874968,125.428315,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.41 km。
4122013601,长春工业大学人文信息学院,主校区,吉林省长春市净月国家高新技术产业开发区福祉大街（路）1016号,吉林,长春,高新技术产业开发区,43.779018,125.421559,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
