schoolName,sourceTitle,sourceUrl,sourceDate,notes
山东大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国海洋大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国石油大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
郑州大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
武汉大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华中科技大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国地质大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
武汉理工大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华中农业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华中师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中南财经政法大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
湖南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
湖南师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
